Fetching seen_trades from Supabase...
Rows returned: 464

Unique addresses found: 262
  29x | 0x0e26a5a60755f60a20500a0fb858739c18b4550e
  24x | 0xa7a8c1fd4bfff08ea30214efa7efaf75d7c6580c
🔴 $    -24067 | 0xcf19c420814435ffb1c459588208ed23a7ee6402 | tr:500 wk:70 mo:222 seen:3x
🔴 $   -370543 | 0x09b540739cfa17ba6b61f4351000583cd6397e72 | tr:267 wk:5 mo:243 seen:3x
🟢 $    189819 | 0xbaa2bcb5439e985ce4ccf815b4700027d1b92c73 | tr:500 wk:92 mo:500 seen:3x
🔴 $  -1865552 | 0x5966db1fe50763c9e3c014d756369bad07e1f804 | tr:410 wk:144 mo:401 seen:3x
🔴 $   -812428 | 0x966cd85371117d811aab6e6f2b98377433659b1a | tr:235 wk:33 mo:229 seen:3x
🔴 $    -28003 | 0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1 | tr:500 wk:118 mo:500 seen:3x
🟢 $     58958 | 0xed107a85a4585a381e48c7f7ca4144909e7dd2e5 | tr:500 wk:81 mo:344 seen:3x
🔴 $     -5921 | 0xffed687882ea20e77879f0cf0897060c49554706 | tr:14 wk:5 mo:11 seen:3x
🟢 $       168 | 0x9400e280ba7bda5780f077be13d5433a3a742951 | tr:3 wk:3 mo:3 seen:3x
🔴 $   -509742 | 0xfbf3d501e88815464642d0e913f15379c3eeb218 | tr:500 wk:52 mo:432 seen:2x
🔴 $       -50 | 0x3b4c4ff8459237e1c65c981d7a8ee43746e5e850 | tr:66 wk:3 mo:10 seen:2x
🔴 $   -980013 | 0x8fbb3c32496d4bcff8f456c3342f90edaaa09a17 | tr:341 wk:113 mo:295 seen:2x
🟢 $         0 | 0x5a084f50b757b96ee03c3f0db42f2fb2e29fcce8 | tr:267 wk:1 mo:237 seen:2x
🔴 $  -3409584 | 0x56c9fbdeccf198f1f5ad95ace39b24f5f7fb0d9e | tr:500 wk:500 mo:500 seen:2x
🔴 $      -262 | 0xf38e6583dfa37026ee25cf0a567b8cef6307a38a | tr:465 wk:0 mo:41 seen:2x
🔴 $    -56708 | 0xee3ecc39c41e8a6b5399b1cd1b03d72f5271ebb5 | tr:500 wk:304 mo:500 seen:2x
🔴 $    -24342 | 0xd355b7dc3d83658eeb6701dc88ec80522278f69c | tr:39 wk:0 mo:34 seen:2x
🔴 $ -11613181 | 0xc3c3b3ef304ddbea39fa2246e683a71da5d0eec8 | tr:500 wk:0 mo:200 seen:2x
🔴 $  -5867285 | 0xe16d3f2a5807999b358affd9445c3a09e45e5e30 | tr:500 wk:378 mo:500 seen:2x
🔴 $    -16456 | 0x176f1fe4250fa90dd8306a8aca55afae5fe5cd75 | tr:35 wk:8 mo:25 seen:2x
🔴 $   -860708 | 0xc6587b11a2209e46dfe3928b31c5514a8e33b784 | tr:500 wk:28 mo:282 seen:2x
🟢 $       246 | 0x9f2fe025f84839ca81dd8e0338892605702d2ca8 | tr:349 wk:38 mo:117 seen:2x
🔴 $   -369532 | 0x7523cafcee7bcf2db9a79d80e0d79b88a9a54c4c | tr:500 wk:23 mo:89 seen:2x
🟢 $      3424 | 0x93511d72d294f1478739bc38f578bf0306fd9e4d | tr:500 wk:373 mo:500 seen:2x
🔴 $   -434616 | 0xc3acf5878a03523d09a3ac859943445d7baeb964 | tr:87 wk:46 mo:87 seen:2x
🔴 $   -290262 | 0x492442eab586f242b53bda933fd5de859c8a3782 | tr:500 wk:18 mo:127 seen:2x
🔴 $ -13201100 | 0x9495425feeb0c250accb89275c97587011b19a27 | tr:500 wk:500 mo:500 seen:2x
🔴 $    -67401 | 0xf39651f0addaad0221806d828197064b97feed0d | tr:500 wk:11 mo:284 seen:2x
🟢 $         0 | 0xf1018544528ebc2019516f620b1d5f2d286ff994 | tr:12 wk:5 mo:12 seen:2x
🔴 $     -9604 | 0x39ec75cc9dc48d0ca433735bf543ad0d55186504 | tr:94 wk:0 mo:0 seen:2x
🔴 $  -1387826 | 0x7a8885c8dc075f0578b648f29fa233408a7d41cc | tr:500 wk:55 mo:240 seen:2x
🔴 $    -60529 | 0x9db7de9bbc878305f55be28b24d920d755c5e0d8 | tr:38 wk:4 mo:4 seen:2x
🟢 $      6136 | 0xa77105bb4d2d4d200b0133a2036222353831162d | tr:131 wk:0 mo:82 seen:2x
🟢 $         0 | 0xbd9377d82d8dcb311b3bd1b8230447693fa82ffc | tr:6 wk:5 mo:5 seen:2x
🔴 $      -623 | 0x996ac56c9e72b6ca38a30ae9f6e85152d9afe3cc | tr:500 wk:87 mo:500 seen:2x
🔴 $    -86519 | 0xc84f7e76ec28ef20e7773b7b4926bfb7378be0c5 | tr:500 wk:86 mo:309 seen:2x
🔴 $   -339094 | 0x6139c42e48cf190e67a0a85d492413b499336b7a | tr:500 wk:37 mo:169 seen:2x
🔴 $  -2053630 | 0xcd65c3279408a33866a9129bed6943064cb6ee96 | tr:500 wk:398 mo:500 seen:2x
🔴 $     -1540 | 0x34d9fa1062def79dca8c85c6dc2640e6b152c8b1 | tr:10 wk:3 mo:5 seen:2x
